case_name,option_type,steps,exact_price,price,runtime_ms,absolute_error,relative_error,config,notes
"atm_call_1y","Call",25,10.450584,10.441712,0.254916,0.008871,0.000849,"scheme=CRR;steps=25","Legacy lattice core via adapter"
"atm_call_1y","Call",50,10.450584,10.487448,0.449292,0.036864,0.003527,"scheme=CRR;steps=50","Legacy lattice core via adapter"
"atm_call_1y","Call",100,10.450584,10.459917,1.367458,0.009333,0.000893,"scheme=CRR;steps=100","Legacy lattice core via adapter"
"atm_call_1y","Call",200,10.450584,10.445293,4.544833,0.005291,0.000506,"scheme=CRR;steps=200","Legacy lattice core via adapter"
"atm_call_1y","Call",400,10.450584,10.455203,17.515208,0.004620,0.000442,"scheme=CRR;steps=400","Legacy lattice core via adapter"
"atm_call_1y","Call",800,10.450584,10.450193,70.601666,0.000390,0.000037,"scheme=CRR;steps=800","Legacy lattice core via adapter"
"atm_call_1y","Call",1600,10.450584,10.449393,242.512792,0.001191,0.000114,"scheme=CRR;steps=1600","Legacy lattice core via adapter"
"atm_put_1y","Put",25,5.573526,5.565188,0.121625,0.008338,0.001496,"scheme=CRR;steps=25","Legacy lattice core via adapter"
"atm_put_1y","Put",50,5.573526,5.610657,0.236500,0.037131,0.006662,"scheme=CRR;steps=50","Legacy lattice core via adapter"
"atm_put_1y","Put",100,5.573526,5.582993,0.823291,0.009467,0.001698,"scheme=CRR;steps=100","Legacy lattice core via adapter"
"atm_put_1y","Put",200,5.573526,5.568302,2.628292,0.005224,0.000937,"scheme=CRR;steps=200","Legacy lattice core via adapter"
"atm_put_1y","Put",400,5.573526,5.578179,12.910959,0.004653,0.000835,"scheme=CRR;steps=400","Legacy lattice core via adapter"
"atm_put_1y","Put",800,5.573526,5.573153,52.334167,0.000373,0.000067,"scheme=CRR;steps=800","Legacy lattice core via adapter"
"atm_put_1y","Put",1600,5.573526,5.572344,260.990875,0.001182,0.000212,"scheme=CRR;steps=1600","Legacy lattice core via adapter"
