case_name,option_type,variant,simulations,time_steps,seed,sample_count,path_count,exact_price,price,runtime_ms,absolute_error,relative_error,standard_error,ci95_lower,ci95_upper,config,notes
"atm_call_1y","Call","Crude",1000,100,42,1000,1000,10.450584,10.418664,5.720333,0.031919,0.003054,0.469545,9.498356,11.338972,"scheme=Euler;variant=Crude;timeSteps=100;samples=1000;paths=1000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_call_1y","Call","Crude",5000,100,42,5000,5000,10.450584,10.667996,24.568667,0.217413,0.020804,0.212021,10.252436,11.083557,"scheme=Euler;variant=Crude;timeSteps=100;samples=5000;paths=5000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_call_1y","Call","Crude",10000,100,42,10000,10000,10.450584,10.574618,49.170083,0.124035,0.011869,0.147874,10.284785,10.864452,"scheme=Euler;variant=Crude;timeSteps=100;samples=10000;paths=10000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_call_1y","Call","Crude",30000,100,42,30000,30000,10.450584,10.532090,149.783417,0.081507,0.007799,0.085645,10.364226,10.699955,"scheme=Euler;variant=Crude;timeSteps=100;samples=30000;paths=30000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_call_1y","Call","Crude",60000,100,42,60000,60000,10.450584,10.414800,279.783333,0.035784,0.003424,0.060163,10.296881,10.532719,"scheme=Euler;variant=Crude;timeSteps=100;samples=60000;paths=60000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_call_1y","Call","Antithetic",1000,100,42,1000,2000,10.450584,10.686876,3.153334,0.236292,0.022610,0.235160,10.225962,11.147790,"scheme=Euler;variant=Antithetic;timeSteps=100;samples=1000;paths=2000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_call_1y","Call","Antithetic",5000,100,42,5000,10000,10.450584,10.535296,15.469791,0.084712,0.008106,0.104260,10.330946,10.739646,"scheme=Euler;variant=Antithetic;timeSteps=100;samples=5000;paths=10000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_call_1y","Call","Antithetic",10000,100,42,10000,20000,10.450584,10.448683,30.842541,0.001900,0.000182,0.073023,10.305559,10.591808,"scheme=Euler;variant=Antithetic;timeSteps=100;samples=10000;paths=20000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_call_1y","Call","Antithetic",30000,100,42,30000,60000,10.450584,10.492088,103.541291,0.041505,0.003972,0.042740,10.408317,10.575859,"scheme=Euler;variant=Antithetic;timeSteps=100;samples=30000;paths=60000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_call_1y","Call","Antithetic",60000,100,42,60000,120000,10.450584,10.468182,214.624417,0.017599,0.001684,0.030112,10.409164,10.527201,"scheme=Euler;variant=Antithetic;timeSteps=100;samples=60000;paths=120000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_call_1y","Call","ControlVariate",1000,100,42,1000,1000,10.450584,10.440253,3.364292,0.010330,0.000988,0.007450,10.425651,10.454856,"scheme=Euler;variant=ControlVariate;timeSteps=100;samples=1000;paths=1000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_call_1y","Call","ControlVariate",5000,100,42,5000,5000,10.450584,10.445472,18.504583,0.005112,0.000489,0.003428,10.438754,10.452190,"scheme=Euler;variant=ControlVariate;timeSteps=100;samples=5000;paths=5000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_call_1y","Call","ControlVariate",10000,100,42,10000,10000,10.450584,10.449256,35.887291,0.001328,0.000127,0.002407,10.444539,10.453973,"scheme=Euler;variant=ControlVariate;timeSteps=100;samples=10000;paths=10000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_call_1y","Call","ControlVariate",30000,100,42,30000,30000,10.450584,10.447628,111.052042,0.002956,0.000283,0.001396,10.444891,10.450364,"scheme=Euler;variant=ControlVariate;timeSteps=100;samples=30000;paths=30000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_call_1y","Call","ControlVariate",60000,100,42,60000,60000,10.450584,10.447815,416.183250,0.002768,0.000265,0.000986,10.445883,10.449747,"scheme=Euler;variant=ControlVariate;timeSteps=100;samples=60000;paths=60000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
"atm_put_1y","Put","Crude",1000,100,42,1000,1000,5.573526,5.868051,4.903708,0.294525,0.052844,0.280848,5.317588,6.418514,"scheme=Euler;variant=Crude;timeSteps=100;samples=1000;paths=1000;seed=42","Legacy Euler MC workflow upgraded with fixed-seed variance-reduction support"
